mechanism,rate,split,seed,top1_model,top1_auroc,top2_model,top2_auroc,gap
MCAR,0.1,S2,1008,xgb,0.9512867627259997,rf,0.9424207683856147,0.00886599434038493
MCAR,0.1,S2,1009,xgb,0.948401448618412,extratrees,0.9449777257265574,0.0034237228918546636
MCAR,0.1,S2,1010,xgb,0.9509930939413284,extratrees,0.9434062327562508,0.007586861185077565
MCAR,0.1,S2,1011,xgb,0.9501953652446353,extratrees,0.9447365703832544,0.0054587948613809
MCAR,0.1,S2,1012,xgb,0.9486231224158892,extratrees,0.9417149970521808,0.0069081253637084394
MCAR,0.1,S2,1013,xgb,0.9514389092402983,rf,0.9451135425769636,0.006325366663334719
MCAR,0.1,S2,1014,xgb,0.9490538371982854,extratrees,0.9427015925762842,0.006352244622001235
MCAR,0.1,S2,1015,xgb,0.9505016384835667,extratrees,0.9444840599496054,0.006017578533961343
MCAR,0.1,S2,1016,xgb,0.9530840324114044,rf,0.9484784801644868,0.00460555224691761
MCAR,0.1,S2,1017,xgb,0.9528561387347804,rf,0.9448036064232064,0.00805253231157399
MCAR,0.1,S2,1018,xgb,0.9495383249963055,rf,0.943088088868467,0.006450236127838571
MCAR,0.1,S2,1019,xgb,0.9488434361644543,rf,0.9446607636401231,0.0041826725243312435
MCAR,0.1,S2,1020,xgb,0.9493322308712259,rf,0.9416024402382,0.007729790633025924
MCAR,0.2,S1,1001,xgb,0.9435232635523354,extratrees,0.9386630991854252,0.004860164366910169
MCAR,0.2,S1,1002,xgb,0.9414674414507231,rf,0.9389996889174075,0.002467752533315659
MCAR,0.2,S1,1003,xgb,0.9422655724191873,rf,0.9403456116605999,0.001919960758587358
MCAR,0.2,S1,1004,xgb,0.9427805913645011,rf,0.9388953715508919,0.003885219813609231
MCAR,0.2,S1,1005,xgb,0.9430740836613966,extratrees,0.9395630955878678,0.003510988073528787
MCAR,0.2,S1,1006,xgb,0.9417684569545903,rf,0.9357227720373515,0.0060456849172387805
MCAR,0.2,S1,1007,xgb,0.9441616563505247,extratrees,0.9410769641542094,0.003084692196315353
MCAR,0.2,S1,1008,xgb,0.9388605322815797,rf,0.9355664033502155,0.0032941289313642708
MCAR,0.2,S1,1009,xgb,0.9477263650726668,rf,0.9429129307481465,0.004813434324520305
MCAR,0.2,S1,1010,xgb,0.9419733104295533,extratrees,0.9409055393920507,0.0010677710375026628
MCAR,0.2,S1,1011,xgb,0.9393538835975679,rf,0.9356618566013214,0.003692026996246489
MCAR,0.2,S1,1012,xgb,0.9406845484296932,extratrees,0.9371267491762921,0.0035577992534010505
MCAR,0.2,S1,1013,xgb,0.9407256373887602,extratrees,0.9389505143285314,0.001775123060228867
MCAR,0.2,S1,1014,extratrees,0.9433144268014647,xgb,0.9408597164418844,0.0024547103595803366
MCAR,0.2,S1,1015,xgb,0.9426968346390501,extratrees,0.9382629795943549,0.0044338550446951785
MCAR,0.2,S1,1016,xgb,0.9434991358175113,extratrees,0.9398814701524639,0.003617665665047398
MCAR,0.2,S1,1017,xgb,0.9381185784209489,rf,0.9365971793706617,0.0015213990502872532
MCAR,0.2,S1,1018,xgb,0.9426271400973153,rf,0.93819399466927,0.004433145428045293
MCAR,0.2,S1,1019,xgb,0.945263999001298,rf,0.9388981715264014,0.006365827474896557
MCAR,0.2,S1,1020,xgb,0.9413193521603622,extratrees,0.9385623744963493,0.0027569776640129495
MCAR,0.2,S2,1001,xgb,0.9397492112032632,extratrees,0.9360593790249657,0.0036898321782974364
MCAR,0.2,S2,1002,xgb,0.9440559979973591,rf,0.9416236766776525,0.0024323213197066096
MCAR,0.2,S2,1003,xgb,0.9465040781779708,rf,0.9387363463389476,0.007767731839023129
MCAR,0.2,S2,1004,xgb,0.9394260508679926,extratrees,0.9346216975276784,0.004804353340314149
MCAR,0.2,S2,1005,xgb,0.9387163452358285,extratrees,0.9322577209482222,0.0064586242876062405
MCAR,0.2,S2,1006,extratrees,0.9394203991877932,xgb,0.9371456088478709,0.0022747903399222835
MCAR,0.2,S2,1007,xgb,0.9491140887325065,rf,0.9377466197838984,0.011367468948608073
