mechanism,rate,split,model,seed,auroc_mean,ap_mean,brier_mean,ece_mean,auroc_std,ap_std,brier_std
MAR,0.0,S2,extratrees,1018,0.9470726591717746,0.5288797645549274,0.01712871342923428,0.00914721357444248,0.005265578460457569,0.08450522204508909,0.0009788389417102776
MAR,0.0,S2,extratrees,1019,0.9459810669273244,0.5266649391986975,0.01725156577554928,0.00943549822069502,0.006441936877654851,0.08661571119917703,0.0010972077797938942
MAR,0.0,S2,extratrees,1020,0.948649380612202,0.5299149362416332,0.01712467404579716,0.0082453808754477,0.008320721962075549,0.08427060107371337,0.000951961399956018
MAR,0.0,S2,lr_l2,1001,0.8916303605723035,0.4103072761040411,0.01917140741459388,0.00610457784821198,0.02461246149928256,0.0869111916312629,0.0013497971012575666
MAR,0.0,S2,lr_l2,1002,0.8892286769658033,0.4188149330617401,0.018873913572698138,0.00682519086991846,0.02916321095249535,0.08191648179393674,0.0014230118263740376
MAR,0.0,S2,lr_l2,1003,0.8905082706197897,0.41777382279523045,0.01901498520083634,0.0073124205714074604,0.029089605726465857,0.08511994773345655,0.0016268587597005582
MAR,0.0,S2,lr_l2,1004,0.8897000052242034,0.41859721621579754,0.01916582557001504,0.00668664295025124,0.024047282624401718,0.08757610516659524,0.0014130931197111139
MAR,0.0,S2,lr_l2,1005,0.8900560693802703,0.4218309437840471,0.018896485110616902,0.006311068013475719,0.024273029705594612,0.08984284126142934,0.0013728680230564443
MAR,0.0,S2,lr_l2,1006,0.8902864949637687,0.4193797773505013,0.0188581344827277,0.00640386709374254,0.026296893336005978,0.0847174707944694,0.0014930060549392921
MAR,0.0,S2,lr_l2,1007,0.891011826566869,0.4239627422915156,0.01900310635089238,0.0060517254199432,0.024374998001287073,0.07949266619355427,0.0015818074598900026
MAR,0.0,S2,lr_l2,1008,0.889168813061959,0.4164630080334769,0.018893965714195583,0.006819899005001739,0.028501566807214433,0.09303704132070495,0.0016322571779757373
MAR,0.0,S2,lr_l2,1009,0.8867402458077246,0.41782878482357777,0.0189601721376362,0.006865027773793,0.027073080187894668,0.0843433360269112,0.001531143778662032
MAR,0.0,S2,lr_l2,1010,0.8864376172701405,0.4192020986545396,0.01889257819938176,0.00521609175062078,0.026319066934802113,0.0848953843848294,0.0015077165417180438
MAR,0.0,S2,lr_l2,1011,0.8952369923169364,0.41537518102658544,0.018832397718803958,0.007318247971037239,0.023878189689012043,0.09327875579465407,0.0015031002618210124
MAR,0.0,S2,lr_l2,1012,0.8898284793920295,0.4147890207034356,0.01892877022680518,0.00613385514988904,0.028221542674913863,0.08471396040274022,0.001551827030554219
MAR,0.0,S2,lr_l2,1013,0.8909072232430246,0.4196088960733066,0.01903661165651478,0.00627676815018958,0.029299609088219866,0.09705298916081466,0.0014779823000966588
MAR,0.0,S2,lr_l2,1014,0.891287745805325,0.431209943816434,0.018541925422061,0.00583656119496242,0.031029695038596972,0.0862960002148971,0.0017050380003839753
MAR,0.0,S2,lr_l2,1015,0.8909806389412266,0.4245501170811076,0.0186959580345766,0.006808141777873459,0.0266089443707942,0.08581644043783312,0.0012571860480271692
MAR,0.0,S2,lr_l2,1016,0.8913440115861364,0.4142395474716082,0.01891772359465862,0.0061562333727495,0.02883053412525223,0.08489829571642714,0.0013798497883904972
MAR,0.0,S2,lr_l2,1017,0.8895518242834444,0.4164062859678605,0.01882384723951206,0.00526758493134802,0.022338321034188386,0.08485565336022893,0.0013149287021045424
MAR,0.0,S2,lr_l2,1018,0.8876744717397287,0.42063103638791616,0.01890821498322596,0.00742149327834226,0.02650628424008096,0.08634670766863546,0.0015841588652177174
MAR,0.0,S2,lr_l2,1019,0.8908749234391669,0.4305037514984359,0.01849546786431898,0.00662971651320874,0.026591359892833382,0.09338922958151326,0.00120652869402434
MAR,0.0,S2,lr_l2,1020,0.8917136742388548,0.4241691452526107,0.01870104482301002,0.00663549949274414,0.023077012100881564,0.08967666721605358,0.0013712531257941577
MAR,0.0,S2,rf,1001,0.9450522526322327,0.5352593666096365,0.01677438090050612,0.007087306048110161,0.0075606026554600565,0.08342504207518577,0.0009313596282014243
MAR,0.0,S2,rf,1002,0.9493668972234133,0.5468071643018486,0.01669327020681368,0.007828314244445139,0.005085119718730481,0.07643716328678568,0.001017679677490328
